sec,place
879.7,1
889.2,2
897.3,3
900.9,4
905.5,5
906.1,6
910.3,7
913.4,8
914.9,9
916.3,10
917.1,11
917.9,12
918.7,13
919.6,14
919.8,15
921.4,16
921.6,17
922.2,18
922.7,19
924.2,20
925.6,21
931.2,22
933.3,23
934.1,24
934.6,25
936,26
936.7,27
937.9,28
939,29
939.9,30
940.8,31
943.2,32
943.4,33
943.9,34
944.3,35
944.7,36
945.7,37
946.5,38
946.9,39
947,40
949.7,41
950.2,42
951.2,43
952.1,44
954.4,45
954.9,46
955.1,47
955.2,48
955.3,49
955.4,50
955.6,51
957.9,52
958.1,53
958.6,54
958.6,55
959,56
959.7,57
959.7,58
961.6,59
962.3,60
962.3,61
964.3,62
964.7,63
965.2,64
965.9,65
965.9,66
966.9,67
969.5,68
970,69
971.8,70
972.1,72
972.1,71
972.3,73
974.6,74
975.5,75
976.6,76
976.9,77
980,78
980.3,79
981,80
982.1,81
983.4,82
985,83
988.2,84
988.2,84
990.4,86
994.3,87
994.5,88
995.8,89
996.3,90
996.5,91
997.6,92
998.4,93
998.9,94
1000.1,95
1001.9,96
1002.1,97
1002.3,98
1004.1,99
1004.5,100
1004.8,101
1006.5,102
1006.7,103
1006.9,104
1007.5,105
1010.3,106
1012.2,107
1013.9,108
1016.4,109
1017.7,110
1018.1,111
1021.6,112
1023.8,113
1025,114
1027.8,115
1027.9,116
1029.5,117
1030,118
1032.1,119
1040.8,120
1041,121
1041.4,122
1042.7,123
1048,124
1049.3,125
1049.8,126
1052,127
1054.1,128
1062.5,129
1065,130
1065.9,131
1074.9,132
1076.9,133
1078.3,134
1099.9,135
1102.5,136
1102.6,137
1107.6,138
